Job profession,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,P1,P2,P3,P4,P5,P6,P7,P8
"Astronomer
",13,7,14,18,16,13,20,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,8,14,18,15,13,16,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,9,14,18,19,13,16,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,8,14,18,20,13,16,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,7,14,18,16,13,16,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,6,14,19,16,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,5,14,19,17,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,5,14,19,17,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,5,14,19,16,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,6,14,19,15,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,7,14,19,19,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,8,14,19,20,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,9,14,19,17,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,8,14,19,17,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,7,11,19,17,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,6,11,19,16,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,5,11,20,15,13,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,8,11,20,19,12,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,5,11,20,20,12,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,6,11,20,17,12,16,20,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,7,11,20,17,12,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,8,11,20,18,12,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,9,11,20,17,12,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,8,11,20,16,12,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,7,12,20,15,11,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,6,12,20,19,11,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,5,12,20,20,11,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,9,12,20,18,11,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,7,12,20,18,11,17,15,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,9,12,20,18,11,17,15,1,0,1,2,2,1.0,2,2.0
Geologist,11,8,17,19,13,6,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,12,5,16,19,14,7,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,13,6,15,19,13,8,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,14,7,19,19,12,9,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,20,19,11,8,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,12,9,17,19,14,5,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,11,8,17,19,11,6,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,14,5,18,19,12,7,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,11,6,17,19,13,8,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,12,7,17,19,13,9,12,20,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,16,19,14,8,13,20,1,0,2,2,1,0.0,1,2.0
Geologist,14,9,15,15,13,5,13,20,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,19,15,12,6,13,20,1,0,2,2,1,0.0,1,2.0
Geologist,12,5,20,15,11,7,13,20,1,0,2,2,1,0.0,1,2.0
Geologist,11,6,17,15,14,8,13,20,1,0,2,2,1,0.0,1,2.0
Geologist,14,7,17,15,11,9,13,20,1,0,2,2,1,0.0,1,2.0
Geologist,11,8,18,15,12,8,13,20,1,0,2,2,1,0.0,1,2.0
Geologist,12,9,17,15,13,5,13,18,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,17,15,13,6,13,18,1,0,2,2,1,0.0,1,2.0
Geologist,14,5,16,15,14,7,13,18,1,0,2,2,1,0.0,1,2.0
Geologist,13,6,15,15,13,8,13,18,1,0,2,2,1,0.0,1,2.0
Geologist,12,7,19,18,12,9,13,18,1,0,2,2,1,0.0,1,2.0
Geologist,11,8,20,18,11,8,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,14,9,17,18,14,5,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,11,8,17,18,11,6,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,12,5,18,18,12,7,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,13,6,17,18,13,8,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,14,7,17,18,13,9,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,16,18,14,8,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,12,9,15,18,13,5,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,11,8,19,18,12,6,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,14,5,20,18,11,7,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,11,6,17,18,14,8,11,18,1,0,2,2,1,0.0,1,2.0
Geologist,12,7,17,18,11,9,11,17,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,18,18,12,8,11,17,1,0,2,2,1,0.0,1,2.0
Geologist,14,9,17,18,13,5,11,17,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,17,18,13,6,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,12,5,16,18,14,7,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,11,6,15,18,13,8,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,14,7,19,19,12,9,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,11,8,20,19,11,8,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,12,9,17,19,14,5,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,13,8,17,19,11,6,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,14,5,18,19,12,7,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,13,6,17,19,11,8,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,12,7,16,19,12,9,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,11,8,15,19,13,8,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,14,9,19,19,14,5,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,11,7,20,19,13,9,14,17,1,0,2,2,1,0.0,1,2.0
Geologist,12,6,17,19,12,7,14,17,1,0,2,2,1,0.0,1,2.0
"Marine Biologist
",5,6,11,20,12,7,13,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,5,12,20,12,9,13,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,6,14,20,12,10,11,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,7,12,20,12,9,12,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,8,13,20,12,8,14,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",10,9,11,20,12,7,12,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,8,12,20,12,6,13,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,5,14,20,12,6,11,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,6,12,20,12,9,12,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,7,13,20,12,10,14,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,8,11,20,12,9,13,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,9,12,20,12,8,11,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,5,14,20,12,7,12,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,6,12,20,12,6,14,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",10,7,13,20,12,6,12,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,8,11,20,12,9,13,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,9,12,20,12,10,11,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,8,14,20,12,9,12,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,5,12,20,12,8,14,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,6,13,19,12,7,13,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,7,11,19,12,6,11,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,8,12,19,12,6,12,19,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,9,14,19,11,9,14,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",10,5,12,19,11,10,12,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,6,13,19,11,9,13,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,7,11,19,11,8,11,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,8,12,19,11,7,12,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,9,14,19,11,6,14,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,8,12,19,11,6,13,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,5,13,19,11,9,11,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,6,11,19,11,10,12,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,7,12,19,11,9,14,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",10,8,14,19,14,8,12,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,9,12,18,14,7,13,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,5,13,18,14,6,11,16,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,6,11,18,14,6,12,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,7,12,18,14,9,14,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,8,14,18,14,10,13,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,9,12,18,14,9,11,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,8,13,18,14,8,12,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,5,11,18,14,7,14,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",10,6,12,18,14,6,12,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,7,14,18,14,6,13,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,8,12,18,12,9,11,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,9,13,18,12,10,12,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,5,12,18,12,9,14,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",8,6,14,17,12,8,13,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",7,7,12,17,12,7,11,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",6,8,13,17,12,6,12,18,0,0,1,2,1,0.0,1,2.0
"Marine Biologist
",9,9,11,17,12,6,14,18,0,0,1,2,1,0.0,1,2.0
Veterinarian,11,5,11,12,6,17,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,5,14,14,9,20,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,14,9,13,12,8,18,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,8,11,13,7,19,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,7,12,11,6,16,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,6,14,12,8,15,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,8,13,14,7,17,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,7,11,12,6,20,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,6,12,13,9,18,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,14,9,11,11,6,19,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,5,14,12,9,16,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,5,13,14,8,15,19,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,9,11,12,7,17,18,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,8,12,13,6,20,18,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,7,14,11,8,18,18,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,6,13,12,7,19,18,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,14,8,11,14,6,16,18,18,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,7,12,12,9,15,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,6,11,14,7,17,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,9,11,12,9,20,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,6,11,13,8,18,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,9,14,11,7,19,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,8,13,12,6,16,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,14,7,11,14,8,15,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,6,12,12,7,17,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,8,14,13,6,20,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,7,13,11,9,18,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,6,11,12,7,19,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,9,12,14,9,16,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,7,11,12,8,15,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,14,9,11,13,7,17,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,8,14,11,6,20,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,7,13,12,8,18,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,6,11,14,7,19,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,8,12,12,6,16,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,7,14,14,9,15,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,6,13,12,9,17,18,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,14,9,11,13,9,20,17,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,7,12,11,8,18,17,17,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,7,14,12,7,19,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,7,14,14,6,16,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,9,11,12,8,15,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,8,14,13,7,17,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,7,13,11,9,20,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,14,6,11,12,8,18,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,8,12,14,7,19,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,7,14,12,6,16,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,12,6,13,13,8,15,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,11,9,11,11,7,18,17,19,1,0,1,1,0,2.0,2,2.0
Veterinarian,13,10,12,12,6,15,17,19,1,0,1,1,0,2.0,2,2.0
Nature photographer,11,5,17,10,6,12,17,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,5,20,10,6,12,17,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,6,18,10,6,12,17,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,6,19,10,6,12,17,15,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,7,16,10,6,12,17,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,7,15,10,6,12,17,16,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,8,17,10,6,12,17,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,8,20,10,6,12,17,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,9,18,10,6,12,17,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,9,19,10,6,12,17,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,5,16,10,6,12,17,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,5,15,10,6,12,17,17,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,6,17,10,6,11,17,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,6,20,10,6,11,17,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,7,18,8,6,11,17,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,7,19,8,6,11,17,15,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,8,16,8,6,11,17,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,8,15,8,5,11,17,16,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,9,17,8,5,11,17,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,9,20,8,5,11,19,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,7,18,8,5,11,19,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,5,19,8,5,11,19,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,5,16,8,5,11,19,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,6,15,6,5,11,19,17,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,6,17,6,5,11,19,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,7,20,6,5,11,19,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,7,18,6,5,11,19,15,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,8,19,6,5,13,19,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,8,16,6,5,13,19,16,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,9,15,6,5,13,19,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,9,17,6,5,13,19,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,8,20,6,5,13,19,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,5,18,6,5,13,19,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,5,19,6,5,13,19,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,6,16,6,5,13,19,17,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,6,15,6,8,13,19,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,7,17,6,8,13,19,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,7,17,6,8,13,19,15,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,8,20,6,8,13,19,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,8,18,6,8,13,18,16,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,9,19,6,8,13,18,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,5,16,7,8,14,18,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,5,15,7,8,14,18,20,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,6,17,7,8,14,18,19,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,6,20,7,8,14,18,18,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,7,18,7,8,14,18,17,1,0,2,0,0,1.0,2,2.0
Nature photographer,13,7,19,7,8,14,18,16,1,0,2,0,0,1.0,2,2.0
Nature photographer,12,8,16,7,8,14,18,15,1,0,2,0,0,1.0,2,2.0
Nature photographer,11,8,15,7,8,14,18,17,1,0,2,0,0,1.0,2,2.0
Nature photographer,14,9,18,7,8,14,18,18,1,0,2,0,0,1.0,2,2.0
Recording engineer,13,20,5,16,5,17,12,7,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,6,16,6,17,12,5,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,17,7,16,7,17,12,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,18,8,16,8,17,12,7,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,9,16,9,17,12,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,17,10,16,6,17,12,9,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,16,5,16,5,17,12,5,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,15,5,16,6,17,12,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,19,5,16,7,17,12,7,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,20,6,16,8,17,12,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,7,16,9,17,12,9,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,17,8,17,5,18,13,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,18,9,17,6,18,14,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,7,17,7,18,11,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,16,8,17,8,18,12,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,20,9,17,9,18,13,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,10,17,5,18,11,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,17,9,17,6,18,12,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,18,8,17,7,18,13,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,5,17,8,18,12,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,17,6,17,9,18,14,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,16,7,17,5,18,13,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,15,5,18,6,19,11,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,19,6,18,7,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,20,7,18,8,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,8,18,9,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,17,9,18,5,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,18,10,18,6,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,5,18,7,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,20,6,18,8,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,17,7,18,9,19,12,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,8,18,8,19,14,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,18,9,18,5,19,13,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,17,10,18,6,19,11,5,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,7,19,7,20,12,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,16,8,19,8,20,12,7,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,15,9,19,9,20,12,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,19,10,18,8,20,12,9,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,20,5,17,9,20,14,5,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,17,6,17,5,20,13,6,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,7,16,6,20,11,7,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,18,8,15,7,20,12,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,14,17,9,19,8,20,14,9,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,17,10,20,9,20,13,7,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,17,10,17,8,19,11,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,12,17,10,17,9,15,12,9,1,2,0,2,0,2.0,1,0.0
Recording engineer,14,18,10,18,10,16,14,10,1,2,0,2,0,2.0,1,0.0
Recording engineer,13,20,10,17,5,17,13,8,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,17,10,15,6,18,11,9,1,2,0,2,0,2.0,1,0.0
Recording engineer,11,18,10,17,7,19,13,10,1,2,0,2,0,2.0,1,0.0
Audiologist,17,14,6,16,9,16,11,11,2,1,0,2,0,2.0,1,1.0
Audiologist,16,11,6,17,9,15,12,12,2,1,0,2,0,2.0,1,1.0
Audiologist,15,12,6,18,9,19,13,13,2,1,0,2,0,2.0,1,1.0
Audiologist,19,13,6,19,9,20,14,14,2,1,0,2,0,2.0,1,1.0
Audiologist,20,14,6,20,9,17,11,11,2,1,0,2,0,2.0,1,1.0
Audiologist,17,11,6,15,9,16,12,12,2,1,0,2,0,2.0,1,1.0
Audiologist,17,12,6,16,9,15,13,13,2,1,0,2,0,2.0,1,1.0
Audiologist,16,13,6,17,9,19,14,14,2,1,0,2,0,2.0,1,1.0
Audiologist,15,12,6,18,9,20,11,11,2,1,0,2,0,2.0,1,1.0
Audiologist,19,14,6,19,9,17,12,12,2,1,0,2,0,2.0,1,1.0
Audiologist,20,11,6,20,9,16,13,13,2,1,0,2,0,2.0,1,1.0
Audiologist,17,12,6,15,9,15,14,14,2,1,0,2,0,2.0,1,1.0
Audiologist,17,13,6,16,9,19,11,11,2,1,0,2,0,2.0,1,1.0
Audiologist,16,14,6,17,9,20,12,12,2,1,0,2,0,2.0,1,1.0
Audiologist,15,11,6,18,9,17,13,13,2,1,0,2,0,2.0,1,1.0
Audiologist,19,12,6,19,9,16,14,14,2,1,0,2,0,2.0,1,1.0
Audiologist,20,13,6,20,9,15,11,11,2,1,0,2,0,2.0,1,1.0
Audiologist,17,12,6,15,9,19,12,12,2,1,0,2,0,2.0,1,1.0
Audiologist,16,14,6,16,9,20,13,13,2,1,0,2,0,2.0,1,1.0
