Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
B+,B,D-,A,B-,C,C-,C+,C+,A,C,C,D-,C+,C+,A,B,B,D,C,E,B-,B-,C-,B+,A,"Science, Technology, Programming","Logical Thinking, Programming, Creativity, Leadership, Communication",1
D+,D,B,B,C,E,B+,A,C,A,C,D-,B-,D,E,C-,D,B,D+,D-,B+,A,D,D-,B+,A-,"Healthcare, Programming, Music, Sports","Logical Thinking, Programming, Teamwork, Problem Solving, Leadership",1
C,C+,E,C,D,C-,D-,B+,A-,C+,B+,A-,A,D-,B+,B,B+,D-,D+,D+,C+,D,B,A,C+,D,"Logical Thinking, Building things, Management","Logical Thinking, Programming, Problem Solving",1
A,D+,B,D,B+,E,D,B,D+,C-,B,C,C-,B+,A,E,B-,B,E,E,C,B+,A-,C+,B,D+,"Problem Solving, Building things, Management","Logical Thinking, Manual Dexterity, Creativity, Programming",1
D+,B,E,D-,E,D,C+,C+,D+,D-,A-,B-,B+,B+,C,D-,C+,B+,B,B,B,C,C,C+,D-,A-,"Art, Programming, Problem Solving, Management","Programming, Teamwork, Research, Creativity, Problem Solving",1
A-,D+,B+,D-,C,D,B,D,D-,C,B,B+,A-,E,C+,B,D-,E,A-,D,C+,C+,C+,D,C,B-,"Programming, Science, Building things","Manual Dexterity, Programming, Problem Solving",1
D+,C,B-,C,B+,E,C,D,D,D,B+,D+,A-,D,B+,A,E,B-,E,D-,B,B,B+,C,D+,B,"Programming, Logical Thinking, Healthcare, Sports","Programming, Problem Solving, Teamwork",1
B,E,C+,B,B,B-,C+,A,E,A-,A,D+,E,B+,D,D+,B+,B+,C-,D,A,D,D,C,C+,C,"Programming, Music, Sports, Management","Research, Logical Thinking, Problem Solving, Analytical Skills",1
B,C-,A-,A,B-,A-,C-,C-,C-,D+,D,C-,A,B+,B,A-,D+,D,B,C,A-,E,D,C-,D,E,"Programming, Healthcare","Logical Thinking, Programming, Problem Solving, Leadership, Empathy",1
B+,C-,C-,B+,C+,B+,A-,D+,D+,C,C-,B-,C-,C-,D,C+,C+,C+,D-,D,D,B+,E,B-,D-,D,"Problem Solving, Management","Logical Thinking, Problem Solving, Leadership, Analytical Skills, Empathy",1
A,B-,E,C-,A-,D+,B,B,B+,D+,B,B-,B,A-,E,B,B-,A-,D-,D-,C-,B+,A,B-,C-,D,"Logical Thinking, Building things","Logical Thinking, Problem Solving",1
B,C,C,D+,D+,B,C-,B+,D+,E,C-,B,B+,A,B-,C+,B-,C+,D,B+,A-,C,D+,B,B-,A,"Programming, Healthcare, Problem Solving, Sports","Logical Thinking, Problem Solving, Teamwork",1
B,B+,C,A-,C+,B,B+,A,A-,A-,E,D+,A-,B+,A,C,D+,C,B+,A,C-,A-,D-,E,C+,A,"Programming, Healthcare, Technology","Logical Thinking, Creativity, Problem Solving",1
A,D+,B-,C+,C+,B,D+,B+,D+,B,A,E,D-,C+,C+,A,A-,B+,C+,D-,B-,B+,D-,A-,C-,D,"Art, Programming, Sports, Building things","Communication, Logical Thinking, Problem Solving",1
A-,B-,A,D+,B,D-,C-,D,D+,A-,A-,C-,B-,B-,D+,C+,B+,C-,D-,D+,A,D,B-,C+,E,B-,Programming,"Programming, Teamwork, Creativity, Problem Solving, Manual Dexterity",1
C+,C-,D+,A,E,A-,B-,C+,D,D,D,B+,B-,C-,C,D-,C-,A,B,D,A-,C+,C+,B,B-,A,"Healthcare, Programming, Problem Solving, Management","Logical Thinking, Programming, Leadership",1
D+,D+,C+,D+,C-,C-,A,A,C,B,C-,D-,B+,D,B-,C+,A-,C+,C-,B+,C-,C-,A-,D+,A-,A-,"Programming, Science, Debating","Logical Thinking, Programming, Research, Problem Solving, Manual Dexterity",1
A,A,C,C+,B-,C-,A,B,E,C+,B-,B,B-,C+,D,B,A-,B-,D,B,D-,B-,D-,D+,A,A,"Programming, Management","Communication, Programming, Problem Solving, Teamwork",1
C,C-,B-,D-,B,D,B+,A-,A,D,D-,A-,A,D-,B-,E,A-,B+,B,A,B+,C-,D+,B+,A,C,"Problem Solving, Sports, Management","Logical Thinking, Creativity, Empathy, Problem Solving",1
A,B,A-,A,D-,A-,A-,D+,B,A-,E,D+,D,C,A-,A,C,B+,A-,B-,D+,C,C+,D-,E,B+,"Art, Logical Thinking, Debating, Healthcare","Programming, Teamwork, Problem Solving",1
A,A-,C+,D-,C+,C-,B-,A,B,A,C,C,B-,C-,D+,A-,A,B,A-,C-,D+,B+,B-,B,C-,C+,"Healthcare, Problem Solving","Research, Logical Thinking, Problem Solving, Analytical Skills",1
C,A,D-,D-,B-,D+,A,A,B,A,B+,A,D-,D-,D+,D-,C,D,E,A-,A,B+,B,B+,D-,D,"Logical Thinking, Building things","Communication, Logical Thinking, Problem Solving",1
A-,D-,A,D+,C,B,C+,A,C-,A,A-,D-,C-,D,C+,D+,C-,E,C-,A,C+,A,A,B-,D-,E,"Logical Thinking, Technology, Sports","Logical Thinking, Programming, Problem Solving, Manual Dexterity, Leadership, Empathy",1
C-,C+,B,A,C+,D+,B,A-,C+,B-,B,B+,A,C,D-,C-,A,B+,E,C+,B,C+,B+,B-,C-,A-,"Logical Thinking, Music","Logical Thinking, Research, Creativity, Problem Solving, Analytical Skills",1
B+,A,A-,C-,A-,C,C-,A-,D-,A,C+,A,D-,A-,A,C+,A,B,B,B-,C-,B,D,A-,D,D-,"Healthcare, Technology, Problem Solving","Logical Thinking, Programming, Teamwork",1
C,A-,D+,C,D,D-,B+,B+,E,C,C,B-,D-,A-,C+,C-,E,D,D-,A,C+,B-,C-,E,B-,B-,"Programming, Science, Technology, Building things","Communication, Logical Thinking, Programming, Teamwork",1
A-,D,D-,D,B+,A-,B,C+,A,B-,A,B+,B,E,A,C,D,B-,E,E,B+,C,B-,B-,D-,D,"Programming, Management","Logical Thinking, Programming, Problem Solving",1
C,A,C,B+,B,D+,D-,A,C+,D-,B+,C+,D+,A-,D-,A,C+,A,A,D,C+,A-,C,C,B+,B-,"Art, Programming, Music, Debating","Logical Thinking, Programming, Leadership",1
A-,B,D-,C,C-,B,A,A-,E,D+,B+,D+,C+,A-,D-,A-,B,B-,D,C+,D-,D-,A,C+,D-,B-,"Healthcare, Problem Solving","Logical Thinking, Programming, Teamwork",1
D,C-,C,D-,C-,C+,C-,C-,C+,B+,B,D+,D-,A,C-,E,D-,C-,D,C+,C-,C,C-,D+,A-,C,"Programming, Sports","Research, Logical Thinking, Programming, Analytical Skills",1
A-,A-,C,C+,B+,C+,C,A-,C+,C+,D+,D+,E,C,C,B+,A-,B,D-,D+,B-,D+,B-,D-,D,C+,"Logical Thinking, Technology","Logical Thinking, Programming, Creativity, Manual Dexterity, Leadership, Empathy",1
A-,A,D,B,E,B-,A,A,B+,C,C+,B-,B,C,B+,D-,C+,A,B+,D-,B,C-,D-,D-,C+,D+,"Healthcare, Problem Solving","Communication, Creativity, Programming, Problem Solving",1
A,B,C,D+,B,C-,D-,B,D,B+,B+,B,C+,D+,D+,A-,E,B-,D,B-,C-,A-,C,D+,C,D+,"Programming, Problem Solving","Programming, Logical Thinking, Empathy, Leadership",1
B-,C+,E,D-,D-,C-,B+,B-,A,D-,B-,B,D,D-,D-,C+,B+,D+,E,C,D+,D+,A,B,E,A-,"Programming, Sports","Programming, Research, Creativity, Problem Solving, Manual Dexterity, Empathy",1
D+,C-,D-,B,C,B-,B+,C,D+,D-,B,C+,A-,D+,D,B-,A-,C-,D,A-,B+,D+,A,C,B-,D-,"Programming, Debating, Technology, Building things","Logical Thinking, Problem Solving",1
A,D+,D+,B-,C,C-,A,B,B-,C+,B-,A-,C-,D+,B,C-,C-,C-,A-,D,D+,E,C+,E,A,B+,"Healthcare, Programming, Debating, Sports","Programming, Problem Solving",1
C+,D+,D,B,D+,B+,E,A,C-,C,D-,D-,C+,C-,A-,E,C,D,C+,C,B,B+,A-,B-,D+,E,"Art, Programming, Building things","Logical Thinking, Programming, Research, Problem Solving, Empathy",1
B+,D+,D-,C,D-,D-,D+,B,A-,E,D,A-,B,A,E,A,E,A,A-,B-,E,C-,C+,C,A-,C+,"Programming, Building things","Logical Thinking, Research, Problem Solving, Manual Dexterity, Leadership, Communication",1
B,E,B+,A-,D,D,E,A-,B+,E,D,B-,B-,C-,C-,A-,B-,B-,E,C-,B,C-,B+,C+,C-,A-,"Logical Thinking, Building things","Logical Thinking, Programming, Creativity, Communication, Empathy",1
A-,C-,D-,D-,D-,D-,E,B,D-,C-,A,D,B+,B,B-,D,D-,C+,B,A-,C+,A-,C,B,B,E,"Art, Logical Thinking, Music, Building things","Manual Dexterity, Logical Thinking, Programming, Analytical Skills",1
A-,B+,A,D+,B-,A,B+,B+,D,B,E,E,B,A,D,B+,A-,C,D+,A-,A-,C,D,B-,E,D-,"Art, Programming","Logical Thinking, Programming, Teamwork, Problem Solving, Analytical Skills, Empathy",1
B+,D,D+,E,A,A,E,A-,B,A-,C+,A,A-,B,B,C-,D,E,C,C-,A,A-,B+,D-,B-,D+,"Music, Logical Thinking, Debating, Technology","Manual Dexterity, Logical Thinking, Empathy, Problem Solving",1
A-,B,C+,A,D+,E,D,B+,D-,B,A,C+,C,D+,B,B+,C-,C-,D,C+,A,D+,D,B,A,A,"Programming, Sports, Management","Logical Thinking, Programming, Research, Problem Solving, Leadership, Communication",1
B+,D-,A-,C,C-,C+,C,A,A-,B+,C,C,D+,B,E,D+,C,A-,D,C,C-,D-,D+,B-,D+,D,"Logical Thinking, Debating, Sports, Management","Logical Thinking, Problem Solving",1
A,C+,C,D-,C,B,C+,A,C+,C,A,A,A-,B-,B,B+,D,C+,D-,C+,D+,D-,D+,B-,C+,B,"Art, Programming, Science, Debating","Logical Thinking, Creativity, Problem Solving",1
A-,C-,C-,D,A-,B-,A,C+,B,B-,A,C,B-,C,B,D,D,B+,A-,C,C,D+,B+,D-,B+,C+,"Logical Thinking, Science","Logical Thinking, Research, Creativity, Problem Solving, Analytical Skills, Communication",1
B-,C-,A-,A,B-,B,D+,B-,D-,B-,D+,B-,C,E,A,D+,C+,E,A,E,B,B-,B-,B-,D+,B,"Programming, Sports","Programming, Logical Thinking, Empathy, Leadership",1
A-,B,B+,A-,A,C-,D-,C+,B-,D,A-,D-,E,E,C,D,A,D,A,B-,A,B+,B,C-,C,C-,"Music, Problem Solving","Programming, Problem Solving, Teamwork",1
C+,D-,D+,B,D-,C,E,D,D+,C+,B+,E,D+,C-,B-,A-,A-,E,D-,C,C+,C,E,D-,B,C-,"Healthcare, Problem Solving","Programming, Creativity, Problem Solving, Communication, Empathy",1
B+,D,D-,C,C-,D-,D-,D,B+,D-,B+,E,B-,D,B+,D,C+,A-,D-,B+,B,B+,D+,B+,A-,B,"Music, Healthcare, Programming","Logical Thinking, Research, Problem Solving, Manual Dexterity, Leadership, Communication",1
A-,C-,D-,D,D,A-,C,A,A,C+,C,C-,C+,C-,B,B-,B-,B-,B-,C+,C-,A,B,C+,D,A-,"Logical Thinking, Debating, Management","Logical Thinking, Empathy, Problem Solving",1
A,C-,C-,A,A-,D+,C,A-,D+,D-,B+,B-,D-,B,B+,A,C-,C,B+,D,D+,C-,C+,B,C+,B-,"Programming, Technology","Programming, Research, Creativity, Problem Solving, Leadership, Communication",1
B+,C+,E,D,C,C+,C-,A-,C,B-,C+,C-,B-,C,D-,D,D+,D+,B+,E,C+,D+,A-,D-,D-,B,"Logical Thinking, Technology, Debating, Management","Manual Dexterity, Logical Thinking, Programming, Problem Solving",1
C,D-,E,D-,B,D-,A,B,B,D-,C-,C-,A-,D+,E,C-,B+,A-,B,B+,B+,D-,B,C+,D,C,"Programming, Problem Solving, Building things","Creativity, Programming, Problem Solving, Analytical Skills",1
B+,A,E,C-,A-,A-,C+,B+,A,E,B+,C,B,E,B-,E,B,E,C,D-,B+,A-,C,C+,A,C+,"Programming, Debating, Problem Solving","Logical Thinking, Programming, Research, Creativity, Problem Solving",1
B+,D-,D+,A,A,C-,C-,B-,B,A,D+,A-,C,A,D-,D-,A-,B,D+,B+,A,C+,D-,C,C-,A,"Problem Solving, Sports, Building things","Programming, Problem Solving, Analytical Skills",1
B+,D,A-,D+,C,C+,C,A,B,D,C,B+,A-,E,A-,B-,B+,B+,C-,C,C-,C-,D-,C,D,D-,"Technology, Problem Solving","Manual Dexterity, Logical Thinking, Problem Solving, Teamwork",1
B+,D+,B,D-,D-,B-,A-,A-,C+,B+,D-,E,A,B,D,A,A-,C,B,A-,C,B,B+,A-,D,B,"Art, Music, Science, Problem Solving","Logical Thinking, Programming, Analytical Skills",1
A-,C-,A-,B-,B-,D-,E,A,B-,A,B+,A,C+,D,A,D-,D,D-,C,A-,A-,B-,A-,C,B+,C+,"Programming, Healthcare, Management","Communication, Manual Dexterity, Programming, Problem Solving",1
C+,C-,D,B+,D-,C-,A-,A-,A-,C,D,D+,D-,B+,C+,B,C-,D+,B-,C,A,B+,C+,E,E,A,"Music, Debating, Problem Solving, Building things","Logical Thinking, Teamwork, Creativity, Problem Solving, Analytical Skills, Communication",1
B+,C-,C+,B+,A,A,A-,B,D-,D,C,B,B+,A,B+,C+,D,E,E,C+,E,A,A-,B-,C-,C+,"Art, Problem Solving, Sports, Management","Manual Dexterity, Logical Thinking, Programming",1
A-,C+,A,B-,B-,B+,E,A-,D-,B,B-,C,C-,D,A-,B-,B,B-,B,A-,B,E,B,D-,B+,B,"Art, Technology, Problem Solving, Sports","Research, Logical Thinking, Programming",1
D,B,C,A,C,B+,B,A-,D-,A,D,D+,B,A,A,A-,C,D-,B-,D+,B+,B,E,C,A,D+,"Science, Problem Solving","Logical Thinking, Programming, Creativity, Leadership, Empathy",1
A-,D+,D,D+,A,A,D-,C-,E,B-,C-,B+,D+,A,D-,A,C-,B,B-,A,A,D,B-,A-,D+,C+,"Art, Science, Problem Solving, Building things","Research, Logical Thinking, Programming, Problem Solving",1
B-,B,D+,A-,B,C,A-,A-,B,D,B+,C-,A,C-,C,A,C,A,B,A,B-,C+,C-,A,E,B,"Problem Solving, Management","Communication, Logical Thinking, Programming, Analytical Skills",1
A-,B-,D-,C,D,D+,D+,A,C-,B+,D-,D-,A-,C,D-,D-,A-,C-,B-,B,C,C+,D,D-,B+,A-,"Art, Programming","Logical Thinking, Programming, Problem Solving, Analytical Skills, Communication",1
C-,E,D,A,A,D+,D,A-,E,B,B-,B-,B-,A,C,E,D,D,E,D,C+,A-,C-,D+,B+,D,"Music, Programming","Logical Thinking, Problem Solving, Manual Dexterity, Leadership, Empathy",1
C,B-,B,B,A-,B+,D+,B-,C+,E,B-,D-,D,A-,C,B-,D,D+,A,B,A,A-,A,C+,B,A,"Programming, Music, Debating, Building things","Research, Logical Thinking, Problem Solving, Leadership",1
B+,A,B,C+,A-,B+,A,A-,C-,C+,C+,B,C,D+,C+,C,A,D,B+,A-,C+,D+,B-,D,E,A-,"Art, Problem Solving","Creativity, Programming, Problem Solving, Analytical Skills",1
A,A-,D+,E,B+,D+,D,A,D,B,A,D+,A,A,C,A-,C+,D-,D+,B-,C+,A,A,B,C,D+,"Healthcare, Problem Solving, Building things","Logical Thinking, Problem Solving, Analytical Skills",1
C,C-,B+,C,D,D+,C+,C-,B,B+,C+,E,A-,D,B,B-,B,D-,C+,D,C-,E,C,A,E,B,"Logical Thinking, Building things","Programming, Teamwork, Research, Problem Solving, Communication",1
A,C+,A-,E,B,D-,C+,A-,E,C,E,B+,B,B-,D-,A,D,B-,C-,B+,D,C+,E,B+,B-,A,"Science, Debating, Programming","Research, Programming, Problem Solving",1
C+,B-,A,C-,C+,B,C,D,A,A-,C-,D-,E,E,A,B,C,B+,D-,D+,B+,C,A-,C,B,D+,"Logical Thinking, Programming","Programming, Teamwork, Research, Problem Solving, Analytical Skills, Empathy",1
B,B,C-,A-,A-,C,D-,D+,A,B-,D+,A-,C+,E,C,A,B-,A-,C-,A-,B-,E,B-,B-,A,B,"Healthcare, Logical Thinking, Debating, Building things","Logical Thinking, Programming, Teamwork, Problem Solving, Manual Dexterity",1
A,A,C+,D+,A,D,C,B,C-,B,D,E,D,A-,C+,C-,D+,D-,B+,D,C+,D+,A,A-,B+,C-,"Science, Problem Solving, Management","Creativity, Programming, Problem Solving",1
B+,D,C+,C,E,D,D+,D,B,C+,C-,E,E,D-,D+,B-,B,B,D,D+,A,A,C,A-,B,A,"Programming, Debating","Programming, Teamwork, Research, Problem Solving, Communication, Empathy",1
C,D,C-,D+,C-,C,D,D,B-,D+,C-,A-,D+,B-,E,B+,E,B+,A,C,D+,B,B-,B+,C+,B+,"Programming, Sports, Management","Research, Manual Dexterity, Programming, Problem Solving",1
A-,C+,D+,A,A,A,D+,C+,C-,E,D+,C-,C+,B,C,B,A,B,B,E,E,B+,D,B-,C+,C,"Art, Logical Thinking, Science, Sports","Logical Thinking, Programming, Leadership, Analytical Skills",1
