PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
7.0,5.0,6.0,5.0,3.0,8.0,3.0,7.0,11.0,10.0,3.0,11.0,4.0,10.0,4.0,6.0,3.0,10.0,4.0,6.0,3.0,3.0,3.0,6.0,9.0,4.0,8.0,4.0,10.0,8.0,5.0,6.0,4.0,4.0,8.0,4.0,10.0,11.0,6.0,9.0,11.0,2.228
12.0,10.0,12.0,11.0,11.0,12.0,7.0,12.0,12.0,11.0,10.0,11.0,9.0,11.0,11.0,11.0,8.0,12.0,9.0,12.0,11.0,11.0,9.0,5.0,10.0,10.0,11.0,6.0,11.0,11.0,10.0,12.0,7.0,9.0,9.0,8.0,11.0,12.0,9.0,11.0,12.0,3.44
6.0,7.0,4.0,4.0,5.0,10.0,3.0,6.0,9.0,9.0,11.0,9.0,3.0,7.0,4.0,6.0,5.0,5.0,6.0,6.0,4.0,3.0,7.0,4.0,9.0,7.0,7.0,4.0,7.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,9.0,11.0,7.0,8.0,11.0,2.188
10.0,9.0,11.0,10.0,8.0,12.0,9.0,4.0,11.0,11.0,5.0,12.0,12.0,10.0,9.0,10.0,8.0,12.0,8.0,11.0,7.0,11.0,9.0,5.0,11.0,11.0,11.0,7.0,12.0,11.0,8.0,10.0,7.0,10.0,9.0,7.0,11.0,12.0,8.0,10.0,11.0,3.195
6.0,8.0,6.0,4.0,9.0,9.0,7.0,7.0,7.0,9.0,3.0,11.0,4.0,7.0,8.0,8.0,6.0,8.0,6.0,8.0,3.0,5.0,5.0,5.0,8.0,4.0,8.0,5.0,11.0,7.0,7.0,5.0,4.0,6.0,6.0,4.0,11.0,11.0,7.0,5.0,8.0,2.294
11.0,9.0,12.0,10.0,8.0,11.0,10.0,12.0,11.0,12.0,9.0,11.0,8.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,10.0,11.0,7.0,11.0,9.0,9.0,8.0,12.0,11.0,11.0,9.0,6.0,11.0,11.0,8.0,11.0,12.0,10.0,10.0,12.0,3.443
12.0,7.0,11.0,7.0,10.0,11.0,8.0,10.0,11.0,11.0,9.0,9.0,10.0,12.0,11.0,12.0,7.0,11.0,11.0,9.0,8.0,11.0,8.0,4.0,9.0,8.0,11.0,5.0,9.0,8.0,9.0,7.0,6.0,7.0,7.0,7.0,12.0,12.0,9.0,10.0,11.0,3.133
9.0,7.0,12.0,4.0,11.0,12.0,11.0,12.0,11.0,11.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,9.0,6.0,8.0,11.0,10.0,4.0,8.0,9.0,9.0,7.0,12.0,11.0,9.0,9.0,7.0,9.0,9.0,5.0,12.0,11.0,10.0,8.0,10.0,3.22
12.0,7.0,11.0,9.0,11.0,10.0,5.0,10.0,11.0,8.0,5.0,12.0,9.0,11.0,11.0,11.0,7.0,11.0,9.0,12.0,8.0,10.0,9.0,6.0,11.0,6.0,9.0,6.0,11.0,11.0,8.0,9.0,4.0,8.0,8.0,8.0,11.0,12.0,10.0,11.0,10.0,3.112
10.0,8.0,11.0,12.0,7.0,11.0,3.0,11.0,11.0,7.0,5.0,12.0,6.0,12.0,9.0,11.0,9.0,11.0,5.0,12.0,9.0,6.0,8.0,11.0,11.0,9.0,11.0,5.0,11.0,10.0,8.0,11.0,6.0,10.0,8.0,7.0,12.0,12.0,9.0,11.0,11.0,3.16
9.0,7.0,8.0,4.0,10.0,11.0,8.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,4.0,11.0,9.0,12.0,5.0,12.0,8.0,7.0,9.0,6.0,11.0,7.0,9.0,5.0,12.0,11.0,8.0,9.0,5.0,6.0,9.0,7.0,11.0,12.0,8.0,8.0,11.0,3.019
10.0,10.0,11.0,8.0,10.0,11.0,7.0,10.0,11.0,9.0,5.0,12.0,7.0,11.0,11.0,11.0,6.0,11.0,9.0,11.0,8.0,11.0,10.0,6.0,10.0,6.0,10.0,8.0,10.0,10.0,8.0,11.0,7.0,7.0,8.0,7.0,11.0,12.0,8.0,11.0,11.0,3.164
9.0,6.0,11.0,8.0,10.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,4.0,12.0,11.0,11.0,9.0,12.0,9.0,10.0,10.0,8.0,11.0,8.0,10.0,8.0,10.0,7.0,12.0,11.0,10.0,11.0,9.0,9.0,10.0,6.0,11.0,11.0,10.0,10.0,11.0,3.332
5.0,5.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,11.0,7.0,9.0,8.0,9.0,7.0,11.0,5.0,9.0,4.0,5.0,5.0,5.0,5.0,8.0,8.0,4.0,11.0,6.0,4.0,4.0,7.0,4.0,4.0,3.0,11.0,10.0,7.0,5.0,10.0,2.165
11.0,11.0,10.0,10.0,11.0,6.0,10.0,12.0,12.0,11.0,12.0,10.0,8.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,7.0,11.0,12.0,11.0,11.0,9.0,11.0,9.0,12.0,11.0,9.0,9.0,12.0,3.7
11.0,8.0,8.0,6.0,11.0,12.0,12.0,8.0,11.0,8.0,8.0,12.0,6.0,11.0,10.0,9.0,8.0,9.0,6.0,10.0,6.0,7.0,6.0,5.0,11.0,7.0,9.0,7.0,12.0,11.0,8.0,9.0,8.0,10.0,8.0,6.0,11.0,12.0,10.0,11.0,11.0,3.033
9.0,6.0,7.0,6.0,4.0,11.0,4.0,8.0,9.0,10.0,10.0,11.0,8.0,10.0,11.0,10.0,5.0,7.0,8.0,11.0,4.0,8.0,9.0,6.0,8.0,4.0,9.0,6.0,10.0,7.0,6.0,8.0,4.0,6.0,9.0,4.0,11.0,12.0,8.0,10.0,11.0,2.696
10.0,6.0,9.0,6.0,8.0,11.0,3.0,11.0,11.0,8.0,11.0,11.0,8.0,11.0,10.0,8.0,4.0,10.0,5.0,11.0,5.0,5.0,7.0,4.0,9.0,11.0,9.0,5.0,11.0,11.0,12.0,8.0,5.0,5.0,8.0,5.0,12.0,11.0,7.0,9.0,11.0,2.851
5.0,10.0,6.0,10.0,7.0,11.0,10.0,8.0,12.0,12.0,7.0,11.0,3.0,10.0,3.0,11.0,5.0,10.0,7.0,4.0,9.0,8.0,10.0,8.0,11.0,8.0,11.0,7.0,11.0,9.0,10.0,11.0,10.0,10.0,8.0,7.0,12.0,11.0,8.0,9.0,12.0,3.058
3.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.493
9.0,8.0,8.0,4.0,5.0,6.0,3.0,9.0,11.0,9.0,6.0,10.0,5.0,8.0,4.0,4.0,9.0,3.0,3.0,5.0,11.0,9.0,4.0,3.0,6.0,4.0,5.0,4.0,9.0,3.0,3.0,3.0,9.0,4.0,4.0,6.0,7.0,8.0,6.0,3.0,8.0,2.069
11.0,5.0,7.0,5.0,3.0,7.0,4.0,4.0,10.0,7.0,5.0,11.0,3.0,11.0,3.0,3.0,3.0,6.0,4.0,4.0,3.0,3.0,11.0,7.0,7.0,7.0,3.0,7.0,5.0,3.0,3.0,3.0,3.0,4.0,8.0,3.0,11.0,8.0,5.0,6.0,8.0,1.996
11.0,10.0,11.0,11.0,12.0,6.0,12.0,6.0,12.0,8.0,12.0,12.0,12.0,12.0,6.0,6.0,6.0,6.0,12.0,12.0,6.0,6.0,6.0,12.0,11.0,12.0,11.0,12.0,11.0,6.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,3.897
12.0,11.0,12.0,11.0,6.0,6.0,6.0,12.0,12.0,12.0,6.0,12.0,11.0,12.0,11.0,12.0,6.0,6.0,10.0,12.0,11.0,6.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,6.0,12.0,12.0,11.0,8.0,12.0,9.0,12.0,11.0,12.0,9.0,12.0,3.848
11.0,11.0,12.0,11.0,11.0,6.0,11.0,12.0,12.0,11.0,9.0,12.0,11.0,12.0,11.0,10.0,10.0,12.0,11.0,6.0,7.0,12.0,12.0,8.0,11.0,5.0,9.0,11.0,11.0,6.0,10.0,11.0,7.0,7.0,10.0,5.0,11.0,12.0,10.0,3.0,12.0,3.404
7.0,3.0,6.0,3.0,4.0,9.0,11.0,5.0,6.0,8.0,7.0,9.0,3.0,7.0,4.0,6.0,3.0,7.0,5.0,3.0,4.0,5.0,7.0,4.0,6.0,6.0,6.0,9.0,10.0,6.0,6.0,7.0,8.0,5.0,5.0,6.0,10.0,12.0,8.0,8.0,11.0,2.254
5.0,9.0,8.0,8.0,9.0,10.0,3.0,8.0,10.0,3.0,9.0,11.0,5.0,10.0,5.0,8.0,5.0,10.0,6.0,9.0,6.0,7.0,9.0,5.0,9.0,6.0,8.0,7.0,8.0,8.0,7.0,7.0,4.0,8.0,7.0,5.0,11.0,11.0,10.0,9.0,11.0,2.655
8.0,7.0,9.0,7.0,11.0,7.0,12.0,7.0,9.0,7.0,7.0,11.0,12.0,10.0,11.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,11.0,9.0,10.0,5.0,10.0,11.0,8.0,9.0,7.0,8.0,8.0,8.0,12.0,12.0,9.0,9.0,11.0,3.106
8.0,8.0,6.0,8.0,5.0,11.0,7.0,8.0,11.0,11.0,12.0,9.0,7.0,10.0,9.0,8.0,10.0,12.0,9.0,11.0,7.0,8.0,7.0,5.0,8.0,10.0,8.0,3.0,12.0,7.0,8.0,5.0,4.0,5.0,4.0,6.0,11.0,12.0,8.0,9.0,11.0,2.793
11.0,7.0,12.0,5.0,12.0,10.0,8.0,12.0,11.0,12.0,4.0,11.0,11.0,11.0,9.0,8.0,5.0,9.0,6.0,12.0,6.0,9.0,9.0,6.0,8.0,5.0,10.0,7.0,12.0,11.0,8.0,8.0,5.0,7.0,8.0,8.0,11.0,12.0,10.0,11.0,11.0,3.023
10.0,7.0,9.0,5.0,12.0,10.0,10.0,6.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,5.0,9.0,7.0,11.0,10.0,11.0,9.0,4.0,10.0,7.0,8.0,7.0,10.0,11.0,8.0,6.0,4.0,6.0,8.0,5.0,12.0,11.0,11.0,8.0,11.0,3.01
12.0,9.0,11.0,10.0,12.0,11.0,7.0,11.0,11.0,9.0,6.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,6.0,11.0,12.0,12.0,5.0,10.0,8.0,9.0,10.0,11.0,12.0,7.0,11.0,9.0,7.0,10.0,5.0,11.0,12.0,11.0,7.0,12.0,3.4
4.0,5.0,5.0,3.0,3.0,8.0,7.0,7.0,3.0,3.0,5.0,3.0,5.0,6.0,3.0,4.0,4.0,11.0,6.0,4.0,3.0,4.0,11.0,5.0,3.0,11.0,5.0,5.0,8.0,5.0,3.0,3.0,6.0,4.0,6.0,7.0,11.0,8.0,9.0,4.0,5.0,1.899
10.0,9.0,7.0,11.0,11.0,11.0,5.0,9.0,11.0,10.0,8.0,12.0,12.0,11.0,9.0,9.0,11.0,12.0,8.0,11.0,9.0,9.0,10.0,5.0,11.0,6.0,9.0,7.0,12.0,8.0,9.0,10.0,8.0,11.0,8.0,5.0,11.0,12.0,8.0,9.0,11.0,3.168
11.0,8.0,6.0,4.0,5.0,10.0,5.0,8.0,11.0,12.0,3.0,11.0,3.0,11.0,8.0,8.0,8.0,8.0,4.0,11.0,3.0,4.0,5.0,3.0,8.0,6.0,9.0,4.0,11.0,9.0,7.0,8.0,4.0,7.0,5.0,5.0,10.0,11.0,9.0,10.0,11.0,2.57
6.0,10.0,6.0,4.0,5.0,8.0,6.0,3.0,11.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.418
11.0,8.0,6.0,5.0,8.0,8.0,3.0,6.0,8.0,10.0,5.0,11.0,6.0,11.0,5.0,7.0,7.0,5.0,5.0,11.0,3.0,8.0,6.0,8.0,9.0,6.0,8.0,7.0,11.0,9.0,5.0,8.0,3.0,7.0,5.0,5.0,11.0,12.0,9.0,10.0,11.0,2.564
9.0,5.0,9.0,4.0,8.0,7.0,7.0,6.0,11.0,5.0,3.0,11.0,4.0,11.0,7.0,10.0,3.0,4.0,5.0,10.0,3.0,5.0,4.0,3.0,10.0,7.0,8.0,6.0,11.0,8.0,6.0,8.0,8.0,5.0,6.0,7.0,11.0,11.0,8.0,8.0,11.0,2.468
11.0,8.0,12.0,10.0,12.0,12.0,9.0,12.0,12.0,8.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,11.0,10.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,7.0,11.0,12.0,11.0,12.0,11.0,3.769
8.0,8.0,11.0,4.0,7.0,11.0,6.0,11.0,11.0,5.0,8.0,8.0,11.0,11.0,10.0,9.0,11.0,12.0,8.0,8.0,9.0,11.0,11.0,7.0,7.0,8.0,7.0,6.0,11.0,11.0,6.0,9.0,6.0,7.0,8.0,6.0,11.0,11.0,8.0,11.0,10.0,2.999
11.0,8.0,8.0,3.0,6.0,10.0,6.0,8.0,11.0,10.0,5.0,12.0,4.0,10.0,8.0,9.0,7.0,8.0,9.0,11.0,6.0,6.0,4.0,6.0,9.0,8.0,9.0,4.0,12.0,7.0,5.0,9.0,4.0,8.0,8.0,8.0,11.0,12.0,9.0,9.0,11.0,2.768
11.0,5.0,6.0,3.0,7.0,9.0,3.0,7.0,8.0,9.0,8.0,10.0,6.0,11.0,5.0,10.0,5.0,6.0,9.0,11.0,7.0,6.0,9.0,8.0,10.0,7.0,9.0,7.0,11.0,11.0,11.0,9.0,6.0,7.0,8.0,7.0,11.0,11.0,10.0,10.0,11.0,2.822
11.0,5.0,11.0,5.0,11.0,12.0,4.0,11.0,11.0,11.0,6.0,9.0,11.0,11.0,10.0,11.0,9.0,11.0,8.0,11.0,8.0,11.0,10.0,4.0,8.0,8.0,9.0,9.0,12.0,11.0,7.0,10.0,5.0,8.0,7.0,8.0,11.0,12.0,9.0,11.0,12.0,3.189
9.0,6.0,10.0,5.0,10.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,5.0,11.0,3.0,9.0,4.0,12.0,9.0,11.0,5.0,4.0,9.0,5.0,11.0,3.0,6.0,4.0,5.0,8.0,7.0,9.0,7.0,5.0,5.0,5.0,12.0,10.0,8.0,7.0,11.0,2.715
12.0,5.0,12.0,8.0,12.0,11.0,8.0,11.0,11.0,12.0,8.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,9.0,12.0,11.0,12.0,11.0,6.0,8.0,10.0,12.0,10.0,12.0,12.0,11.0,11.0,8.0,9.0,11.0,8.0,11.0,6.0,11.0,11.0,12.0,3.578
11.0,10.0,11.0,10.0,9.0,12.0,11.0,12.0,11.0,12.0,6.0,12.0,6.0,12.0,11.0,12.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,6.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,8.0,11.0,11.0,6.0,11.0,12.0,11.0,9.0,11.0,3.49
11.0,9.0,9.0,5.0,11.0,12.0,8.0,10.0,8.0,9.0,6.0,11.0,6.0,11.0,11.0,11.0,9.0,12.0,11.0,11.0,11.0,10.0,11.0,3.0,6.0,5.0,9.0,4.0,12.0,9.0,7.0,11.0,7.0,4.0,4.0,4.0,8.0,12.0,6.0,7.0,8.0,2.805
11.0,7.0,11.0,7.0,8.0,12.0,9.0,11.0,10.0,11.0,10.0,11.0,7.0,11.0,11.0,11.0,10.0,12.0,9.0,12.0,11.0,12.0,11.0,7.0,11.0,11.0,11.0,8.0,11.0,11.0,10.0,11.0,8.0,9.0,11.0,7.0,11.0,12.0,10.0,12.0,11.0,3.458
12.0,8.0,10.0,4.0,4.0,11.0,3.0,8.0,11.0,12.0,5.0,12.0,6.0,7.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,7.0,8.0,7.0,3.0,10.0,6.0,4.0,6.0,6.0,7.0,6.0,4.0,10.0,10.0,7.0,7.0,11.0,2.34
11.0,8.0,9.0,8.0,4.0,11.0,6.0,11.0,9.0,11.0,7.0,11.0,9.0,12.0,12.0,12.0,8.0,11.0,6.0,12.0,9.0,10.0,10.0,6.0,10.0,11.0,11.0,8.0,12.0,10.0,10.0,10.0,7.0,11.0,9.0,7.0,11.0,12.0,8.0,9.0,11.0,3.252
8.0,5.0,9.0,3.0,8.0,7.0,5.0,8.0,6.0,7.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,10.0,7.0,11.0,3.0,4.0,5.0,4.0,8.0,10.0,9.0,6.0,11.0,7.0,8.0,9.0,6.0,8.0,8.0,8.0,12.0,12.0,9.0,9.0,10.0,2.683
11.0,7.0,10.0,9.0,7.0,11.0,9.0,11.0,11.0,11.0,8.0,11.0,10.0,11.0,11.0,11.0,6.0,11.0,11.0,12.0,7.0,7.0,9.0,8.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,11.0,9.0,11.0,11.0,7.0,11.0,12.0,9.0,11.0,11.0,3.378
11.0,8.0,12.0,7.0,8.0,11.0,7.0,9.0,11.0,8.0,7.0,12.0,11.0,10.0,8.0,11.0,7.0,11.0,8.0,11.0,8.0,8.0,9.0,8.0,11.0,11.0,11.0,6.0,12.0,11.0,11.0,9.0,6.0,11.0,11.0,11.0,12.0,6.0,9.0,12.0,12.0,3.295
9.0,6.0,10.0,9.0,12.0,11.0,8.0,11.0,11.0,8.0,5.0,12.0,11.0,12.0,11.0,11.0,8.0,11.0,9.0,11.0,9.0,8.0,11.0,4.0,11.0,11.0,9.0,6.0,11.0,12.0,10.0,10.0,6.0,10.0,8.0,8.0,11.0,12.0,7.0,10.0,11.0,3.193
12.0,8.0,12.0,8.0,12.0,11.0,12.0,12.0,9.0,12.0,8.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,10.0,12.0,11.0,12.0,12.0,8.0,11.0,11.0,11.0,11.0,6.0,12.0,9.0,11.0,11.0,11.0,9.0,9.0,11.0,12.0,11.0,10.0,12.0,3.647
